agb_code,lci_name,ciqual_code,energy_kj,energy,water,proteins,carbohydrates,lipids,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,starch,fiber,polyols,alcohol,organic_acids,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,40_fatty_acids,60_fatty_acids,80_fatty_acids,100_fatty_acids,120_fatty_acids,140_fatty_acids,160_fatty_acids,180_fatty_acids,181_oleic_acid,182_linoleic_acid,183_alpha-linolenic_acid,204_arachidonic_acid,205_epa,206_dha,cholesterol,salt,calcium,copper,iron,iodine,magnesium,manganese,phosphorus,potassium,selenium,sodium,zinc,retinol,beta-carotene,vitamin_d,vitamin_e,vitamin_k1,vitamin_k2,vitamin_c,vitamin_b1,vitamin_b2,vitamin_b3,vitamin_b5,vitamin_b6,vitamin_b9,vitamin_b12,source,is_energy_recalculated
32129,"Breakfast cereals, puffed/popped corn, with honey (not fortified with vitamins and chemical elements)",32129,16700.0,3930.0,23.0,57.1,862.0,23.5,309.0,19.0,0.5,20.0,1.0,9.0,215.0,553.0,23.0,0.0,0.0,0.0,6.0,14.399999999999999,1.7999999999999998,0.05,0.05,0.05,0.05,0.05,0.05,0.8999999999999999,0.6,14.2,1.7999999999999998,0.05,0.05,0.05,0.05,8.9,7.1,860.0,0.6,70.0,100.0,210.0,1.7999999999999998,730.0,1100.0,100.0,2870.0,4.8,105.0,591.0,1.3,4.5,4.0,0.0,2.5,21.0,12.0,133.0,50.0,12.0,1660.0,9.0,CALNUT2020_2020_07_07,
32133,"Breakfast cereals, puffed/popped corn, with honey, fortified with vitamins and chemical elements",32133,16300.0,3840.0,30.0,55.0,853.0,18.0,270.0,19.099999999999998,0.5,20.299999999999997,0.5,21.9,208.0,583.0,21.0,0.0,0.0,0.13,3.5,5.6000000000000005,7.7,0.05,0.05,0.05,0.05,0.05,0.05,3.0,0.5,5.5,7.5,0.2,0.05,0.05,0.05,0.0,8.4,2910.0,0.6,71.8,30.0,100.0,1.7999999999999998,1800.0,700.0,100.0,3350.0,4.0,52.5,591.0,17.0,100.0,4.0,0.0,680.0,19.2,12.6,142.0,52.800000000000004,13.3,1730.0,10.0,CALNUT2020_2020_07_07,
38406,Coated peanuts,38406,21600.0,5180.0,31.0,158.0,454.0,297.0,45.099999999999994,1.3,0.32,1.5,1.0,5.5,6.5,393.0,31.8,0.0,0.0,0.0,78.0,101.0,39.1,0.21999999999999997,0.41000000000000003,0.42999999999999994,0.39,0.64,2.8000000000000003,64.5,8.6,98.9,33.9,0.8899999999999999,0.03,0.016999999999999998,0.019,33.0,28.2,385.0,1.9,18.5,80.0,305.0,6.0,1200.0,1710.0,37.8,11200.0,7.9,0.0,225.0,0.0,32.0,12.0,0.0,0.0,0.19,0.8200000000000001,14.299999999999999,5.1,2.3000000000000003,430.0,1.7999999999999998,CALNUT2020_2020_07_07,
32013,"Breakfast cereals, with chocolate, not filled (not fortified with vitamins and chemical elements)",32013,16300.0,3860.0,24.0,77.30000000000001,796.0,29.3,312.0,1.5,0.5,3.3000000000000003,1.0,7.7,284.0,452.0,52.400000000000006,0.0,0.0,0.0,12.1,5.8999999999999995,4.1,0.3,0.21999999999999997,0.19,0.29000000000000004,0.54,1.2,5.5,3.3000000000000003,4.9,2.8000000000000003,0.24,0.01,0.01,0.037000000000000005,0.0,4.1,255.0,4.0,70.0,100.0,705.0,11.7,1700.0,4100.0,100.0,1590.0,13.0,0.0,25.0,1.3,4.6000000000000005,4.0,0.0,680.0,21.0,12.0,133.0,50.300000000000004,12.0,1660.0,9.0,CALNUT2020_2020_07_07,
32134,"Breakfast cereals, puffed/popped cereals, wholemeal, fortified with vitamins and chemical elements",32134,16300.0,3850.0,,79.5,768.0,38.5,320.0,,,,,,271.0,448.0,56.5,0.0,0.0,0.0,8.5,,,,,,,,,,,,,,,,,,9.5,3620.0,,99.5,,,,,,,3750.0,,,,17.0,,,,510.0,10.5,13.0,143.0,51.0,14.5,1680.0,14.8,CIQUAL2020_2020_07_07_edited,False
32028,"Breakfast cereals, diet, with chocolate, not fortified",32028,17300.0,4110.0,25.0,103.0,746.0,70.1,229.0,5.0,0.5,5.0,4.0,4.0,196.0,432.0,40.599999999999994,0.0,0.0,0.0,40.7,22.9,3.5999999999999996,0.094,0.05,0.05,0.094,0.19,0.5700000000000001,17.5,22.200000000000003,22.3,3.4000000000000004,0.2,0.05,0.05,0.05,23.5,10.3,240.0,4.0,60.0,100.0,450.0,12.0,1660.0,2500.0,100.0,4140.0,13.0,105.0,25.0,4.9,5.699999999999999,4.0,0.0,408.0,0.0,6.8999999999999995,91.8,5.1,6.3,974.0,4.6000000000000005,CALNUT2020_2020_07_07,
32022,"Breakfast cereals, diet, with chocolate, fortified with vitamins and chemical elements",32022,16600.0,3940.0,33.0,75.0,739.0,59.0,195.0,5.1,0.5,4.1,0.5,4.2,182.0,487.0,71.0,0.0,0.0,2.7,30.2,20.4,5.1,0.1,0.05,0.3,0.2,0.1,0.4,13.0,15.4,19.5,4.8,0.3,0.05,0.05,0.05,0.0,6.8999999999999995,3610.0,3.4000000000000004,77.5,400.0,600.0,6.0,1690.0,2350.0,20.0,2740.0,15.0,0.0,0.0,0.0,108.0,4.0,0.0,696.0,19.8,13.5,152.0,54.6,14.299999999999999,1850.0,10.700000000000001,CALNUT2020_2020_07_07,
32029,"Breakfast cereals, diet, with fruits, not fortified",32029,16000.0,3780.0,31.0,105.0,787.0,14.0,190.0,22.0,0.5,24.0,3.0,7.0,131.0,543.0,43.2,0.0,0.0,0.0,3.2,2.0,6.800000000000001,0.05,0.05,0.05,0.05,0.05,0.05,1.6,0.5,1.9,5.4,1.4000000000000001,0.05,0.05,0.05,13.799999999999999,12.4,300.0,2.4,73.0,100.0,630.0,18.0,1700.0,3800.0,100.0,4960.0,15.0,105.0,238.0,1.3,9.1,4.0,0.0,740.0,0.0,11.6,130.0,3.9000000000000004,9.399999999999999,681.0,7.4,CALNUT2020_2020_07_07,
32025,"Breakfast cereals, diet, with dried fruits, fortified with vitamins and chemical elements",32025,16700.0,3940.0,,97.69999999999999,755.0,49.3,237.0,,,,,,,500.0,43.3,0.0,0.0,0.0,8.299999999999999,,,,,,,,,,,,,,,,,,10.0,4050.0,,102.0,,,,,,,4000.0,,,,,,,,758.0,10.600000000000001,13.4,152.0,45.5,13.4,1900.0,23.599999999999998,CIQUAL2020_2020_07_07_edited,False
32023,"Breakfast cereals, diet, with fruits, fortified with vitamins and chemical elements",32023,16000.0,3780.0,30.0,105.0,779.0,17.4,206.0,5.1,0.5,5.0,3.0,4.2,182.0,547.0,44.0,0.0,0.0,0.0,5.699999999999999,3.1,7.7,0.019,0.0097,0.041,0.039,0.031,0.077,2.5,3.0,3.1,1.4000000000000001,0.08800000000000001,0.015,0.015,0.015,0.0,10.600000000000001,3540.0,3.2,106.0,200.0,583.0,16.0,1700.0,2370.0,278.0,4240.0,15.0,0.0,132.0,0.0,101.0,4.0,0.0,774.0,20.299999999999997,15.2,172.0,57.9,16.7,2050.0,12.5,CALNUT2020_2020_07_07,
